书名,作者,图书类型,图书简介,库存
《活着》,余华,文学小说,讲述了在大时代背景下，主人公徐福贵的人生和家庭不断经受着苦难，到了最后，所有亲人都先后离他而去，仅剩下年老的他和一头老牛相依为命的故事。,3
《平凡的世界》,路遥,文学小说,以中国70年代中期到80年代中期10年间为背景，以孙少安和孙少平两兄弟为中心，通过复杂的矛盾纠葛，刻画了当时社会各阶层众多普通人的形象。,2
《三体》,刘慈欣,科幻小说,讲述了地球人类文明和三体文明的信息交流、生死搏杀及两个文明在宇宙中的兴衰历程。,5
《白夜行》,东野圭吾,悬疑推理,故事围绕着一对有着不同寻常情愫的小学生展开，1973年，大阪的一栋废弃建筑内发现了一具男尸，此后19年，嫌疑人之女雪穗与被害者之子桐原亮司走上截然不同的人生道路，一个跻身上流社会，一个却在底层游走，而他们身边的人，却接二连三地离奇死去，警察经过19年的艰苦追踪，终于使真相大白。,1
《呐喊》,鲁迅,文学小说,收录鲁迅于1918年至1922年所作的14篇短篇小说，真实地描绘了从辛亥革命到五四运动时期的社会生活，揭示了种种深层次的社会矛盾，对旧时中国的制度及部分陈腐的传统观念进行了深刻的剖析和比较彻底的否定。,4
《骆驼祥子》,老舍,文学小说,讲述的是中国北平城里的一个年轻好强、充满生命活力的人力车夫祥子三起三落的人生经历。,3
《围城》,钱钟书,文学小说,以抗战初期知识分子的生活为背景，讲述了主人公方鸿渐从欧洲留学回国后在上海、内地的生活经历，揭示了人性的弱点和社会的种种弊端。,2
《解忧杂货店》,东野圭吾,治愈小说,讲述了在僻静街道旁的一家杂货店，只要写下烦恼投进店前门卷帘门的投信口，第二天就会在店后的牛奶箱里得到回答：因男友身患绝症，年轻女孩月兔在爱情与梦想间徘徊；松冈克郎为了音乐梦想离家漂泊，却在现实中寸步难行；少年浩介面临家庭巨变，挣扎在亲情与未来的迷茫中……他们将困惑写成信投进杂货店，奇妙的事情随即不断发生。,5
《嫌疑人X的献身》,东野圭吾,悬疑推理,讲述了数学天才石神为救失手杀害前夫的靖子，以令人惊骇莫名的诡计诠释了一份无比纯粹的爱情。,1
《简·爱》（译本众多，在中国畅销）,夏洛蒂·勃朗特（英国作家，但在中国畅销）,文学小说,讲述了一个自幼父母双亡的孤女简·爱，不断追求自由与尊严、坚持自我并最终获得幸福的故事。,4
《老人与海》,欧内斯特·海明威（美国作家，但在中国畅销）,文学小说,故事围绕一位老年古巴渔夫，与一条巨大的马林鱼在离岸很远的湾流中的搏斗展开。,3
《百年孤独》,加西亚·马尔克斯（哥伦比亚作家，但在中国畅销）,魔幻现实主义小说,描写了布恩迪亚家族七代人的传奇故事，以及加勒比海沿岸小镇马孔多的百年兴衰，反映了拉丁美洲一个世纪以来风云变幻的历史。,2
